"","X","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","PRICE.SQUARE.FEET","BOROUGHNAME","location","ID","lon","lat"
"1","7","1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS             ","2B","402","21","NA","C4","154 EAST 7TH STREET"," ","10009","10","0","10","2272","6794","1913","2","C4","3936272","2016-09-23","579.374742419782","Manhattan","154 EAST 7TH STREET, Manhattan, 10009 - New York","1","-73.9823541","40.7255536"
"2","8","1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS             ","2A","404","55","NA","C2","301 EAST 10TH   STREET"," ","10009","6","0","6","2369","4615","1900","2","C2","8000000","2016-11-17","1733.47778981582","Manhattan","301 EAST 10TH   STREET, Manhattan, 10009 - New York","2","-73.9817512","40.7276476"
"3","13","1","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS           ","2","387","153","NA","D9","629 EAST 5TH STREET"," ","10009","24","0","24","4489","18523","1920","2","D9","16232000","2016-11-07","876.315931544566","Manhattan","629 EAST 5TH STREET, Manhattan, 10009 - New York","4","-73.9807784","40.7234972"
"4","15","1","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS           ","2B","400","21","NA","D1","530-532 EAST 5TH STREET"," ","10009","10","0","10","3717","12350","2009","2","D1","10350000","2016-10-17","838.056680161943","Manhattan","530-532 EAST 5TH STREET, Manhattan, 10009 - New York","5","-73.983104","40.724063"
"5","77","1","ALPHABET CITY","11A CONDO-RENTALS                           ","2","385","1102","NA","RR","254 EAST 2ND STREET","RES","10009","47","0","47","NA","36472","2005","2","RR","28000000","2016-10-13","767.712217591577","Manhattan","254 EAST 2ND STREET, Manhattan, 10009 - New York","6","-73.9813862","40.7213897"
"6","176","1","ALPHABET CITY","14 RENTALS - 4-10 UNIT                     ","2A","391","19","NA","S3","624 EAST 9TH   STREET"," ","10009","3","1","4","1520","3360","1910","2","S3","3300000","2016-11-15","982.142857142857","Manhattan","624 EAST 9TH   STREET, Manhattan, 10009 - New York","7","-73.979332","40.725637"
"7","199","1","ALPHABET CITY","22 STORE BUILDINGS                         ","4","390","34","NA","K4","115 AVENUE C"," ","10009","0","1","1","1218","3586","1899","4","K4","3700000","2016-09-28","1031.79029559398","Manhattan","115 AVENUE C, Manhattan, 10009 - New York","8","-73.9788784","40.7244215"
"8","220","1","CHELSEA","07 RENTALS - WALKUP APARTMENTS             ","2B","696","37","NA","C4","253 10TH   AVENUE"," ","10001","6","1","7","1463","3762","1901","2","C4","16000000","2016-09-08","4253.05688463583","Manhattan","253 10TH   AVENUE, Manhattan, 10001 - New York","10","-74.0037075","40.7489719"
"9","237","1","CHELSEA","07 RENTALS - WALKUP APARTMENTS             ","2B","790","63","NA","C1","148 WEST 15TH   STREET"," ","10011","8","0","8","2000","4100","1910","2","C1","3485000","2016-12-05","850","Manhattan","148 WEST 15TH   STREET, Manhattan, 10011 - New York","13","-73.9983422","40.7388823"
"10","281","1","CHELSEA","09 COOPS - WALKUP APARTMENTS               ","2","744","32","NA","C6","309 WEST 20TH   STREET"," ","10011","24","0","24","4600","12200","1850","2","C6","282000","2016-10-19","23.1147540983607","Manhattan","309 WEST 20TH   STREET, Manhattan, 10011 - New York","16","-74.00051","40.743703"
"11","835","1","CHELSEA","14 RENTALS - 4-10 UNIT                     ","2A","716","1","NA","S4","130 TENTH AVENUE"," ","10011","4","1","5","1875","5225","1910","2","S4","10581818","2016-11-04","2025.22832535885","Manhattan","130 TENTH AVENUE, Manhattan, 10011 - New York","17","-74.0060871","40.7446413"
"12","838","1","CHELSEA","14 RENTALS - 4-10 UNIT                     ","2A","769","69","NA","S9","192 8 AVENUE"," ","10011","4","2","6","2500","4447","1910","2","S9","8250000","2016-12-16","1855.18326961997","Manhattan","192 8 AVENUE, Manhattan, 10011 - New York","18","-73.9997199","40.7430733"
"13","941","1","CHELSEA","22 STORE BUILDINGS                         ","4","696","28","NA","K1","507 WEST 24TH"," ","10011","0","1","1","3950","7900","2013","4","K1","10750000","2016-12-28","1360.75949367089","Manhattan","507 WEST 24TH, Manhattan, 10011 - New York","20","-74.0041392","40.7486361"
"14","949","1","CHELSEA","23 LOFT BUILDINGS                          ","4","795","19","NA","L8","137 WEST 19TH STREET"," ","10011","1","5","6","1878","11250","1910","4","L8","10500000","2016-09-30","933.333333333333","Manhattan","137 WEST 19TH STREET, Manhattan, 10011 - New York","22","-73.9960986","40.7410853"
"15","954","1","CHELSEA","25 LUXURY HOTELS                           ","4","801","71","NA","H1","152 WEST 26TH STREET"," ","10001","0","1","1","9826","122236","2010","4","H1","139725000","2016-12-05","1143.07568964953","Manhattan","152 WEST 26TH STREET, Manhattan, 10001 - New York","23","-73.9937504","40.7455183"
"16","956","1","CHELSEA","26 OTHER HOTELS                            ","4","772","64","NA","H3","216-222 WEST 23RD   STREET"," ","10011","0","10","10","17281","170750","1900","4","H3","92007576","2016-10-28","538.843783308931","Manhattan","216-222 WEST 23RD   STREET, Manhattan, 10011 - New York","24","-73.9968525","40.7443502"
"17","964","1","CHELSEA","37 RELIGIOUS FACILITIES                    ","4","799","25","NA","M1","125 WEST 23RD   STREET"," ","10011","0","1","1","12343","21183","1920","4","M1","50350000","2016-11-03","2376.90600953595","Manhattan","125 WEST 23RD   STREET, Manhattan, 10011 - New York","25","-73.993576","40.743622"
"18","1012","1","CHINATOWN","07 RENTALS - WALKUP APARTMENTS             ","2","164","28","NA","C7","45 MOTT STREET"," ","10013","11","3","14","2380","7946","1915","2","C7","8275000","2016-11-16","1041.40448024163","Manhattan","45 MOTT STREET, Manhattan, 10013 - New York","26","-73.9989348","40.7152896"
"19","1087","1","CHINATOWN","23 LOFT BUILDINGS                          ","4","281","44","NA","L8","41-43 DIVISION STREET"," ","10002","0","8","8","3465","20968","1900","4","L8","15500000","2016-12-20","739.221671117894","Manhattan","41-43 DIVISION STREET, Manhattan, 10002 - New York","29","-73.9955057","40.7141398"
"20","1807","1","EAST VILLAGE","07 RENTALS - WALKUP APARTMENTS             ","2","442","11","NA","C5","31 EAST 1ST STREET"," ","10003","21","0","21","2144","7495","1920","2","C5","5381394","2016-09-23","717.997865243496","Manhattan","31 EAST 1ST STREET, Manhattan, 10003 - New York","30","-73.9905088","40.7239487"
"21","2054","1","FASHION","21 OFFICE BUILDINGS                        ","4","833","11","NA","O4","1250 BROADWAY"," ","10001","0","55","55","30750","645977","1969","4","O4","565000000","2016-11-01","874.644143676942","Manhattan","1250 BROADWAY, Manhattan, 10001 - New York","36","-73.98781","40.7477162"
"22","2055","1","FASHION","21 OFFICE BUILDINGS                        ","4","838","12","NA","O6","53 WEST 36TH   STREET"," ","10018","0","17","17","5925","64300","1911","4","O6","54000000","2016-10-27","839.813374805599","Manhattan","53 WEST 36TH   STREET, Manhattan, 10018 - New York","37","-73.9859831","40.7507182"
"23","2066","1","FASHION","23 LOFT BUILDINGS                          ","4","805","39","NA","L1","115-123 W 29TH"," ","10001","0","15","15","6994","79465","1913","4","L1","220000","2016-12-19","2.76851444031964","Manhattan","115-123 W 29TH, Manhattan, 10001 - New York","38","-73.9909496","40.747136"
"24","2070","1","FASHION","25 LUXURY HOTELS                           ","4","763","28","NA","H2","311 WEST 39TH   STREET"," ","10018","0","1","1","7406","177000","2010","4","H2","128177800","2016-09-29","724.168361581921","Manhattan","311 WEST 39TH   STREET, Manhattan, 10018 - New York","39","-73.9919775","40.7558962"
"25","3032","1","FLATIRON","21 OFFICE BUILDINGS                        ","4","856","9","NA","O4","11-13 EAST 26TH   STREET"," ","10010","0","35","35","11553","217991","1913","4","O4","1159531","2016-12-20","5.31916914001037","Manhattan","11-13 EAST 26TH   STREET, Manhattan, 10010 - New York","50","-73.9873107","40.7433206"
"26","3065","1","GRAMERCY","02 TWO FAMILY DWELLINGS                    ","1","899","38","NA","B9","236 EAST 19TH STREET"," ","10003","2","0","2","1750","3880","1901","1","B9","7350000","2016-11-09","1894.32989690722","Manhattan","236 EAST 19TH STREET, Manhattan, 10003 - New York","51","-73.9835603","40.7355817"
